PROVINCIA,PARTIDO,LOCALIDAD,POBLACION,M_ADSL,M_CABLEMODEM,M_DIAL_UP,M_FIBRA_OPTICA,M_SATELITAL,M_WIRELESS,M_TELEFONIA_FIJA,M_3G,M_4G,LATITUD,LONGITUD,DISTANCIA
CORDOBA,SANTA MARÍA,TEJAS TRES,0,False,False,False,False,False,False,False,False,False,-31.4661292884087,-64.3670949660514,652.93
CORDOBA,SANTA MARÍA,TIERRA ALTA,0,False,False,False,False,False,False,False,False,False,-31.4723029527477,-64.4707945856239,660.77
CORDOBA,SANTA MARÍA,TOLEDO,3843,True,False,False,True,False,True,True,True,True,-31.5560967583723,-64.0080543306962,619.1
LA RIOJA,ARAUCO,AIMOGASTA,12249,True,True,False,True,True,True,True,True,True,-28.5589898446523,-66.8272851017638,1039.11
LA RIOJA,ARAUCO,ARAUCO,852,False,False,False,False,False,False,False,False,False,-28.5834031870202,-66.8036412937626,1035.58
LA RIOJA,ARAUCO,BAÑADO DE LOS PANTANOS,534,False,False,False,False,False,False,False,False,False,-28.3871788034279,-66.8369122348367,1052.72
LA RIOJA,ARAUCO,ESTACIÓN MAZÁN,407,False,False,False,False,True,True,False,False,False,-28.6648262993633,-66.5166195609666,1008.79
LA RIOJA,ARAUCO,MACHIGASTA,0,False,False,False,False,False,False,False,True,False,-28.5410843774809,-66.8070296105313,1038.98
LA RIOJA,ARAUCO,SAN ANTONIO,0,False,False,False,False,False,False,False,False,True,-28.5553801376497,-66.8013856528183,1037.51
LA RIOJA,ARAUCO,TERMAS DE SANTA TERESITA,124,False,False,False,False,False,False,False,False,False,-28.591774966521,-66.5563885931113,1017.15
LA RIOJA,ARAUCO,VILLA MAZÁN,1090,False,False,False,False,False,True,True,False,False,-28.6586281834455,-66.5552758852995,1012.03
LA RIOJA,CAPITAL,LA RIOJA,178872,True,True,True,True,True,True,True,True,True,-29.4217827668094,-66.856675379963,979.52
LA RIOJA,CASTRO BARROS,AMINGA,833,False,True,False,True,False,True,True,False,False,-28.8554609845772,-66.9376617661779,1025.43
LA RIOJA,CASTRO BARROS,ANILLACO,1573,False,True,False,True,True,False,True,False,False,-28.8155900262519,-66.9439245714904,1028.77
LA RIOJA,CASTRO BARROS,ANJULLÓN,418,False,True,False,True,False,True,True,False,False,-28.7272509428901,-66.9328944677286,1034.39
LA RIOJA,CASTRO BARROS,CHUQUIS,236,False,True,False,False,False,False,False,False,False,-28.8979801822511,-66.9765194957537,1025.25
LA RIOJA,CASTRO BARROS,LOS MOLINOS,244,False,True,False,False,False,True,False,False,False,-28.7544152281739,-66.9389202939919,1032.85
LA RIOJA,CASTRO BARROS,PINCHAS,390,False,True,False,False,False,True,False,False,False,-28.9370760269909,-66.9665171496043,1021.71
LA RIOJA,CASTRO BARROS,SAN PEDRO,298,False,True,False,False,False,True,True,False,False,-28.6697090457958,-66.9281338379098,1038.25
MENDOZA,SAN MARTÍN,MONTECASEROS,1106,False,False,False,False,False,True,True,True,True,-33.0109966347898,-68.3936801268915,937.22
MENDOZA,SAN MARTÍN,NUEVA CALIFORNIA,208,False,False,False,False,False,True,False,False,False,-32.7450606095364,-68.335450804198,939.27
MENDOZA,SAN MARTÍN,PALMIRA,0,False,False,False,True,False,True,False,True,True,-33.0499932818968,-68.5490896779466,950.33
MENDOZA,SAN MARTÍN,SAN MARTÍN,79476,False,True,False,True,False,True,False,True,True,-33.0732178033808,-68.4605125505865,941.7
MENDOZA,SAN MARTÍN,TRES PORTEÑAS,2545,False,False,False,True,False,True,True,True,True,-32.8994801779562,-68.3990962886724,940.66
MENDOZA,SAN RAFAEL,25 DE MAYO,1450,False,True,True,False,False,True,True,True,True,-34.5859138924719,-68.5495682219631,926.71
MENDOZA,SAN RAFAEL,BARRIO CAMPOS EL TOLEDANO,956,False,False,False,False,False,False,False,True,True,-34.573654040475,-68.3294341868083,906.65
MENDOZA,SAN RAFAEL,BARRIO ECHEVERRIA,0,False,False,False,False,False,False,False,True,True,-34.6278079094528,-68.4330730738277,915.85
MENDOZA,SAN RAFAEL,BARRIO EL NEVADO,160,False,False,False,False,False,False,False,False,False,-34.7898637210549,-67.9874651693673,874.57
MENDOZA,SAN RAFAEL,BARRIO EMPLEADOS DE COMERCIO,208,False,False,False,False,False,False,False,False,False,-34.5522300096664,-68.3032401705615,904.38
MENDOZA,SAN RAFAEL,BARRIO INTENDENCIA,120,False,False,False,False,False,False,False,True,True,-34.645100562517,-68.2754543992412,901.36
MENDOZA,SAN RAFAEL,BARRIO LAS ROSAS,0,False,False,False,False,False,False,False,False,False,-34.6278079094528,-68.4330730738277,915.85
MENDOZA,SAN RAFAEL,BARRIO PRIMAVERA,0,False,False,False,False,False,False,False,False,False,-34.6298100948936,-68.5105923910427,922.93
MENDOZA,SAN RAFAEL,CAPITÁN MONTOYA,362,False,False,False,False,False,True,False,True,True,-34.5835613146884,-68.4654391114406,919.03
MENDOZA,SAN RAFAEL,CUADRO BENEGAS,1253,True,False,True,True,False,True,True,False,False,-34.6331750282237,-68.2302164082512,897.28
MENDOZA,SAN RAFAEL,CUADRO NACIONAL,0,False,False,False,False,False,False,False,True,True,-34.6175050676523,-68.2817525680486,902.07
MENDOZA,SAN RAFAEL,EL NIHUIL,1030,False,False,False,False,False,True,True,False,False,-35.0353713864246,-68.6806149266928,937.54
SALTA,GENERAL GÜEMES,GENERAL GÜEMES,31494,True,False,False,True,True,False,True,True,True,-24.6684436198384,-65.0493527755239,1273.27
SALTA,GRL. JOSÉ DE SAN MARTÍN,AGUARAY,10410,True,True,False,True,True,True,True,False,True,-22.2388143093458,-63.7283889210813,1465.74
SALTA,GRL. JOSÉ DE SAN MARTÍN,CAMPAMENTO VESPUCIO,1531,True,False,False,True,True,False,True,False,False,-22.5800471662206,-63.8523231844895,1434.43
SALTA,GRL. JOSÉ DE SAN MARTÍN,CAMPICHUELO,340,False,False,False,False,False,False,False,False,True,-23.1062412034464,-63.9953139246427,1385.11
SALTA,GRL. JOSÉ DE SAN MARTÍN,CAMPO DURÁN,620,False,False,False,True,False,False,False,False,True,-22.1925191184959,-63.6556166497527,1468.11
SALTA,GRL. JOSÉ DE SAN MARTÍN,CAPIAZUTI,231,False,False,False,False,False,False,False,False,False,-22.1673388747523,-63.7086209918975,1472.56
SALTA,GRL. JOSÉ DE SAN MARTÍN,CARBONCITO,531,False,False,False,False,False,False,False,False,False,-23.2595016179972,-63.8026685275306,1362.03
SALTA,GRL. JOSÉ DE SAN MARTÍN,CORONEL CORNEJO,2672,True,False,False,True,True,False,True,False,True,-22.736606161274,-63.8212340428559,1417.0
SALTA,GRL. JOSÉ DE SAN MARTÍN,DRAGONES,1779,False,False,False,True,True,True,True,False,True,-23.2581867482105,-63.3390555232417,1345.57
SALTA,GRL. JOSÉ DE SAN MARTÍN,EMBARCACIÓN,20843,True,True,False,True,True,False,True,True,True,-23.2042135269827,-64.0900817936338,1378.64
SALTA,GRL. JOSÉ DE SAN MARTÍN,GENERAL BALLIVIÁN,2071,False,False,False,True,True,False,False,False,True,-22.9276105225425,-63.8522934424036,1398.27
SALTA,GRL. JOSÉ DE SAN MARTÍN,GENERAL MOSCONI,15295,True,False,False,True,True,True,True,True,True,-22.5872984531874,-63.8075098662841,1432.07
SALTA,GRL. JOSÉ DE SAN MARTÍN,HICKMAN,805,False,False,False,False,False,False,False,False,True,-23.2174884897188,-63.5643624737058,1357.71
SALTA,GRL. JOSÉ DE SAN MARTÍN,MISIÓN CHAQUEÑA,1302,False,False,False,False,False,False,False,False,True,-23.2761412353834,-63.7361800240654,1357.84
SANTA FE,CASEROS,CHAÑAR LADEADO,5415,True,True,False,True,False,False,True,True,True,-33.3258409849243,-62.0386496702618,361.23
SANTA FE,CASEROS,GÖDEKEN,1652,False,True,False,True,False,False,True,False,False,-33.402405547162,-61.8449306727075,341.33
SANTA FE,CASEROS,LOS MOLINOS,1832,True,True,False,False,False,True,True,True,True,-33.1054899954916,-61.3265015329286,313.97
SANTA FE,CASEROS,LOS NOGALES,152,False,True,False,False,False,False,True,False,False,-33.1430061971604,-61.6066128669784,334.27
SANTA FE,CASEROS,LOS QUIRQUINCHOS,2462,False,False,False,False,False,True,True,True,True,-33.3769918276119,-61.7121943064881,331.22
SANTA FE,CASEROS,SAN JOSÉ DE LA ESQUINA,6775,True,True,False,False,False,True,True,True,False,-33.1140485294151,-61.703312346428,343.7
SANTA FE,CASEROS,SANFORD,1810,True,False,False,True,False,False,True,True,True,-33.1477729818051,-61.2778572887319,307.64
SANTA FE,CASEROS,VILLADA,1213,True,True,False,False,False,True,True,False,False,-33.3503085722913,-61.4460374000461,310.24
SANTA FE,CASTELLANOS,ALDAO (EST. CASABLANCA),1576,True,False,False,True,False,True,True,False,False,-30.9823474545911,-61.7439869348366,505.78
